ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2024-10-10 10:20:24 122m





Relative time;Ch1
s;V
0.00031875;-0.0025040691
0.00031876;0.0035056968
0.00031877;-0.0040065106
0.00031878;-0.00050081383
0.00031879;0.003004883
0.0003188;-0.0010016277
0.00031881;-0.003004883
0.00031882;0.0070113936
0.00031883;0.00050081383
0.00031884;0.0050081383
0.00031885;-0.0025040691
0.00031886;0.0025040691
0.00031887;0
0.00031888;0.0055089521
0.00031889;0.0015024415
0.0003189;-0.0050081383
0.00031891;0.0060097659
0.00031892;0.0020032553
0.00031893;0.003004883
0.00031894;0.0015024415
0.00031895;0.0065105797
0.00031896;0.0035056968
0.00031897;-0.0080130212
0.00031898;-0.00050081383
0.00031899;0.003004883
0.000319;0.0035056968
0.00031901;0.003004883
0.00031902;0.003004883
0.00031903;-0.003004883
0.00031904;-0.0025040691
0.00031905;-0.0040065106
0.00031906;0
0.00031907;-0.0025040691
0.00031908;0.0015024415
0.00031909;-0.0015024415
0.0003191;0.0010016277
0.00031911;-0.0010016277
0.00031912;0.0040065106
0.00031913;0.0010016277
0.00031914;0.0065105797
0.00031915;-0.0035056968
0.00031916;0.0025040691
0.00031917;0.0095154627
0.00031918;-0.010016277
0.00031919;0.0020032553
0.0003192;0.0090146489
0.00031921;-0.0090146489
0.00031922;0.0050081383
0.00031923;0.0075122074
0.00031924;-0.0015024415
0.00031925;-0.0065105797
0.00031926;0.0010016277
0.00031927;0.0010016277
0.00031928;0
0.00031929;0
0.0003193;-0.0010016277
0.00031931;0.0020032553
0.00031932;-0.0040065106
0.00031933;0.0025040691
0.00031934;0
0.00031935;-0.0020032553
0.00031936;-0.00050081383
0.00031937;0.003004883
0.00031938;0.0020032553
0.00031939;0.0035056968
0.0003194;0.0065105797
0.00031941;-0.0015024415
0.00031942;-0.0025040691
0.00031943;0.003004883
0.00031944;0.0045073244
0.00031945;0.00050081383
0.00031946;0
0.00031947;-0.0040065106
0.00031948;0.0050081383
0.00031949;-0.0010016277
0.0003195;0.0040065106
0.00031951;0.0015024415
0.00031952;-0.0020032553
0.00031953;0.0050081383
0.00031954;0.017528484
0.00031955;0.0020032553
0.00031956;0.0035056968
0.00031957;0.0065105797
0.00031958;-0.003004883
0.00031959;-0.0035056968
0.0003196;0.0040065106
0.00031961;0
0.00031962;0.0015024415
0.00031963;0.0020032553
0.00031964;-0.00050081383
0.00031965;0
0.00031966;0.0035056968
0.00031967;0.0080130212
0.00031968;-0.0045073244
0.00031969;-0.0015024415
0.0003197;0.0070113936
0.00031971;0.00050081383
0.00031972;0.0025040691
0.00031973;0.0015024415
0.00031974;0.0025040691
0.00031975;-0.003004883
0.00031976;0.0045073244
0.00031977;0.0025040691
0.00031978;0.00050081383
0.00031979;-0.003004883
0.0003198;-0.0025040691
0.00031981;0.003004883
0.00031982;0.0010016277
0.00031983;0.0015024415
0.00031984;0.0020032553
0.00031985;-0.0010016277
0.00031986;0.0050081383
0.00031987;0.00050081383
0.00031988;0.0045073244
0.00031989;0.0020032553
0.0003199;0.0035056968
0.00031991;-0.003004883
0.00031992;-0.0010016277
0.00031993;-0.0015024415
0.00031994;0.0045073244
0.00031995;0.003004883
0.00031996;0.0065105797
0.00031997;0.00050081383
0.00031998;0.00050081383
0.00031999;-0.0010016277
0.00032;0.003004883
0.00032001;-0.0055089521
0.00032002;0.0095154627
0.00032003;-0.0015024415
0.00032004;-0.0060097659
0.00032005;0
0.00032006;0.0010016277
0.00032007;0.003004883
0.00032008;-0.0010016277
0.00032009;-0.0010016277
0.0003201;-0.0020032553
0.00032011;0.0010016277
0.00032012;-0.0020032553
0.00032013;-0.0045073244
0.00032014;0
0.00032015;0.0015024415
0.00032016;-0.003004883
0.00032017;-0.0010016277
0.00032018;-0.0020032553
0.00032019;-0.0050081383
0.0003202;0.0010016277
0.00032021;-0.0010016277
0.00032022;-0.0020032553
0.00032023;0.0025040691
0.00032024;0.0050081383
0.00032025;-0.0050081383
0.00032026;0.0040065106
0.00032027;-0.0035056968
0.00032028;-0.0035056968
0.00032029;0.0045073244
0.0003203;-0.0055089521
0.00032031;-0.00050081383
0.00032032;-0.0055089521
0.00032033;0
0.00032034;-0.00050081383
0.00032035;0.0070113936
0.00032036;0.0040065106
0.00032037;0.0010016277
0.00032038;0.003004883
0.00032039;-0.00050081383
0.0003204;0.003004883
0.00032041;0.0010016277
0.00032042;0.0015024415
0.00032043;0
0.00032044;-0.0015024415
0.00032045;0.0015024415
0.00032046;0
0.00032047;0.0025040691
0.00032048;0.00050081383
0.00032049;0.0045073244
0.0003205;-0.0015024415
0.00032051;0.003004883
0.00032052;0.00050081383
0.00032053;0.0010016277
0.00032054;0.0045073244
0.00032055;0
0.00032056;-0.0025040691
0.00032057;-0.003004883
0.00032058;0.00050081383
0.00032059;0.0070113936
0.0003206;0.0060097659
0.00032061;0.0070113936
0.00032062;0.003004883
0.00032063;0.0010016277
0.00032064;0.0040065106
0.00032065;0.003004883
0.00032066;0.0050081383
0.00032067;0.0040065106
0.00032068;0.003004883
0.00032069;0.0035056968
0.0003207;0.0010016277
0.00032071;0.0035056968
0.00032072;0.0025040691
0.00032073;-0.0025040691
0.00032074;-0.0040065106
0.00032075;-0.00050081383
0.00032076;0.00050081383
0.00032077;0.0010016277
0.00032078;0.00050081383
0.00032079;0.0055089521
0.0003208;0.011518718
0.00032081;-0.012520346
0.00032082;0.0065105797
0.00032083;0.0075122074
0.00032084;-0.0080130212
0.00032085;-0.0045073244
0.00032086;0.011518718
0.00032087;-0.0015024415
0.00032088;0
0.00032089;0.0010016277
0.0003209;0.0065105797
0.00032091;0.0060097659
0.00032092;-0.0040065106
0.00032093;0.0025040691
0.00032094;-0.0015024415
0.00032095;0.0040065106
0.00032096;0.0040065106
0.00032097;0.0060097659
0.00032098;-0.0020032553
0.00032099;0.00050081383
0.000321;0.0025040691
0.00032101;-0.0060097659
0.00032102;0.0020032553
0.00032103;0.0055089521
0.00032104;-0.0025040691
0.00032105;0.00050081383
0.00032106;0.0040065106
0.00032107;0.0010016277
0.00032108;-0.0040065106
0.00032109;0.0015024415
0.0003211;0.0010016277
0.00032111;0.0025040691
0.00032112;-0.0010016277
0.00032113;-0.0015024415
0.00032114;0.0065105797
0.00032115;-0.00050081383
0.00032116;0.0020032553
0.00032117;-0.0055089521
0.00032118;0.0020032553
0.00032119;-0.0035056968
0.0003212;0
0.00032121;-0.0060097659
